"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"1","City","Suburb Person",7,"Republican",0,85,0,100,0,100,50,40,65,30,30,70,85,100,85,40,85,85,100,85,70,100,0,40,0,60,100,0,15,6,"Male","Hispanic","Bachelor's Degree",21,46,0
"2","Suburb","Suburb Person",4,"Independent",0,50,0,0,15,15,50,50,100,0,70,50,15,50,100,15,90,100,100,90,90,70,70,15,40,50,60,50,50,4,"Female","Asian","Some College",13,37,1
"3","Suburb","Suburb Person",3,"Democrat",60,0,65,0,85,0,100,0,75,75,75,0,0,25,100,0,100,30,100,40,100,100,80,75,75,10,75,80,80,2,"Female","White","High School",17,40,1
"4","Small Town","Small Town Person",6,"Republican",50,70,70,15,100,60,100,70,70,70,70,85,70,85,70,100,70,70,70,100,70,85,50,85,NA,NA,NA,100,100,3,"Male","Asian","Some College",7,41,1
"5","City","Country Person",4,"Independent",20,70,15,85,0,90,0,50,30,10,50,0,60,60,50,10,10,50,90,70,50,60,0,50,0,60,90,0,10,5,"Male","Native American","Graduate Degree",22,72,1
"6","Suburb","City Person",3,"Democrat",85,15,85,0,100,0,85,50,60,70,50,40,40,60,70,85,50,85,100,70,70,85,70,85,60,30,85,70,70,4,"Female","White","Some College",3,71,1
"7","Small Town","Small Town Person",6,"Republican",15,75,50,75,0,70,0,60,60,0,50,50,60,70,60,50,60,60,60,60,70,85,0,60,0,70,70,70,85,4,"Female","White","Some College",4,37,1
"8","Small Town","City Person",6,"Republican",50,100,50,100,50,0,NA,NA,100,NA,0,0,NA,50,NA,50,NA,100,50,100,50,NA,NA,50,NA,NA,50,50,100,NA,"Female","White","High School",3,45,0
"9","Small Town","City Person",4,"Independent",NA,NA,85,0,85,0,30,NA,50,30,30,50,50,50,50,50,0,50,50,60,50,60,60,50,NA,NA,NA,NA,70,NA,"Female","White","High School",10,70,0
"10","Suburb",NA,2,"Democrat",60,50,85,0,70,30,50,50,50,50,50,15,50,50,50,40,50,50,50,70,50,50,50,50,50,0,50,6,70,NA,"Male","Hispanic","Some College",11,43,1
"11","City","City Person",1,"Democrat",100,0,100,0,100,0,85,50,0,50,50,50,50,40,0,50,50,85,50,50,0,85,0,85,0,NA,NA,NA,60,NA,"Female","Hispanic","High School",9,37,1
"12","Small Town","Small Town Person",2,"Democrat",50,30,60,0,70,0,70,50,70,70,50,60,40,50,70,50,50,NA,50,70,40,100,50,40,NA,NA,70,50,70,4,"Male","White","High School",18,55,1
"13","City","Small Town Person",7,"Republican",0,85,0,100,0,100,50,0,0,0,50,0,85,0,30,0,0,0,0,50,0,70,0,0,NA,NA,50,NA,50,6,"Female","White","High School",1,30,1
"14","Suburb","Suburb Person",2,"Democrat",85,0,85,0,85,0,85,0,70,70,60,0,30,30,50,40,50,50,50,0,50,70,100,50,50,50,45,50,50,3,"Male","Asian","Graduate Degree",21,38,0
"15","Small Town","Country Person",3,"Democrat",60,40,60,40,70,40,60,50,60,50,40,70,40,60,50,60,60,85,60,60,50,70,70,60,60,NA,NA,70,85,4,"Female","Black","Some College",3,41,0
"16","Small Town","Small Town Person",5,"Republican",0,100,0,100,0,100,30,60,30,0,50,50,85,60,50,40,15,85,50,85,50,70,0,15,NA,NA,NA,30,40,6,"Male","Hispanic","Some College",7,66,0
"17","Suburb","Suburb Person",3,"Democrat",40,30,60,0,60,0,80,50,50,60,40,40,60,40,50,40,50,50,50,70,50,80,70,50,50,60,70,60,50,3,"Male","White","Bachelor's Degree",22,54,1
"18","Small Town","Small Town Person",1,"Democrat",85,16,85,0,85,0,100,15,70,85,60,40,30,70,85,60,85,85,85,85,85,85,85,85,40,60,85,85,85,3,"Male","White","Bachelor's Degree",20,55,0
"19","Suburb","City Person",1,"Democrat",85,0,85,15,85,15,100,30,60,60,40,50,50,70,70,40,50,70,60,70,50,85,60,85,40,40,40,50,70,2,"Female","White","Bachelor's Degree",NA,62,1
"20","Suburb","Suburb Person",2,"Democrat",85,30,70,15,85,0,90,70,85,70,70,60,70,90,85,50,90,100,100,85,85,100,70,70,60,50,85,95,95,3,"Female","White","High School",5,80,1
"21","Small Town","Small Town Person",7,"Republican",0,100,0,95,0,95,10,75,20,0,30,85,100,80,85,60,50,100,50,100,10,80,0,20,30,100,100,10,0,6,"Male","Hispanic","Graduate Degree",12,31,0
"22","Rural Area","City Person",1,"Democrat",70,15,75,0,80,0,30,50,70,70,75,50,50,40,75,70,70,70,70,60,70,NA,100,60,60,15,70,65,65,4,"Female","Hispanic","Less than High School",6,80,1
"23","City","City Person",3,"Democrat",25,0,40,5,70,0,85,0,50,35,75,15,10,25,50,15,55,50,50,15,50,80,50,70,60,20,50,60,80,2,"Male","White","Bachelor's Degree",21,24,1
"24","City","Small Town Person",7,"Republican",30,85,0,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,50,50,6,"Male","White","Graduate Degree",15,55,1
